label,elapsed_ms
001,20.411
002,104.123
003,65.035
004,6.388
005,0.431
006,257.756
007,5.826
008,0.549
009,0.449
010,0.472
011,164.525
012,4.281
013,0.658
014,265.050
015,0.533
016,144.278
017,4.128
018,0.591
019,0.592
020,64.843
021,0.648
022,0.174
023,3.153
024,0.204
025,7.985
026,0.485
027,2.547
028,0.139
029,2306.434
030,3.999
031,0.456
032,2.053
033,169.760
034,126.062
035,0.713
036,2.333
037,216.919
038,5.685
039,0.459
040,0.223
041,0.240
042,4.205
043,0.271
044,2.190
045,0.383
046,0.201
047,2.091
048,0.271
049,0.419
050,0.198
051,1147.133
052,239.969
053,2789.064
054,0.441
055,0.224
056,0.206
057,0.194
058,0.195
059,0.232
060,145.911
061,4.076
062,0.717
063,1.107
064,1202.614
065,8.018
066,1.127
067,0.594
068,0.601
069,1.830
070,0.582
071,0.599
072,0.847
073,0.599
074,0.788
075,0.623
076,1.037
077,0.516
078,1.848
079,12.078
080,0.676
081,159.737
082,0.648
083,60.388
084,252.428
085,11.960
086,234.293
087,3.983
088,3.244
089,4.883
090,1.152
091,0.522
092,0.694
093,3.256
094,0.503
095,0.742
096,0.485
097,0.488
098,0.440
099,0.378
100,225.085
