label,elapsed_ms
001,18.090
002,73.827
003,40.045
004,8.325
005,0.662
006,1007.699
007,2.221
008,0.592
009,0.557
010,0.545
011,142.408
012,4.173
013,0.342
014,524.016
015,0.918
016,152.378
017,0.546
018,0.342
019,0.338
020,41.730
021,1.002
022,0.266
023,2.665
024,0.226
025,0.465
026,0.477
027,2.569
028,0.209
029,3558.281
030,4.233
031,0.719
032,0.592
033,184.987
034,107.803
035,0.954
036,2.856
037,350.951
038,3.731
039,0.920
040,0.631
041,0.749
042,5.945
043,0.654
044,5.667
045,1.271
046,0.464
047,3.007
048,0.263
049,0.500
050,0.197
051,2364.570
052,380.391
053,3764.283
054,0.360
055,0.310
056,0.173
057,0.132
058,0.204
059,0.222
060,220.253
061,5.276
062,0.370
063,0.595
064,2198.451
065,6.046
066,1.349
067,0.507
068,0.301
069,0.630
070,0.679
071,0.528
072,0.443
073,0.236
074,0.576
075,0.303
076,0.515
077,0.452
078,0.586
079,9.090
080,0.351
081,151.146
082,0.881
083,69.839
084,336.656
085,4.991
086,359.821
087,5.155
088,2.891
089,6.140
090,0.667
091,0.568
092,0.410
093,2.282
094,0.252
095,0.537
096,0.547
097,0.305
098,0.296
099,0.273
100,372.484
