label,elapsed_ms
001,68.270
002,118.161
003,104.157
004,8.157
005,0.301
006,398.090
007,67.063
008,0.330
009,0.197
010,62.410
011,194.731
012,0.423
013,0.216
014,427.158
015,0.368
016,184.523
017,0.318
018,0.372
019,69.824
020,110.154
021,76.356
022,0.365
023,4.337
024,0.278
025,108.926
026,65.353
027,4.379
028,0.265
029,1322.143
030,6.829
031,87.764
032,119.347
033,205.506
034,126.686
035,151.274
036,3.988
037,366.114
038,7.824
039,66.642
040,0.396
041,80.204
042,6.581
043,0.372
044,3.765
045,69.324
046,0.377
047,3.921
048,0.347
049,69.368
050,0.347
051,1459.805
052,307.321
053,1750.974
054,0.359
055,0.219
056,0.212
057,0.213
058,0.228
059,0.240
060,175.017
061,4.075
062,0.240
063,63.237
064,1351.887
065,1.599
066,62.602
067,0.331
068,0.201
069,139.098
070,0.328
071,0.212
072,65.834
073,0.352
074,67.637
075,0.351
076,63.816
077,0.327
078,107.093
079,6.534
080,0.305
081,228.555
082,63.716
083,145.914
084,295.813
085,6.361
086,322.192
087,3.974
088,3.645
089,6.291
090,64.170
091,65.970
092,0.370
093,3.776
094,0.374
095,64.078
096,66.183
097,0.363
098,0.262
099,0.206
100,328.485
